COBACIA,ire_cs_hum
777222,"4,40"
777224,"2,00"
777323,"4,40"
777227,"0,00"
777226,"0,00"
777225,"0,00"
777242,"0,00"
777429,"0,00"
7774525,"0,00"
777428,"0,00"
777472,"5,00"
777243,"0,00"
777324,"4,40"
777211,"3,96"
777221,"0,00"
777213,"4,00"
777223,"3,70"
7774145,"4,40"
7774144,"4,40"
7774271,"4,26"
7774142,"4,08"
7774141,"4,53"
7774143,"4,40"
777421,"4,40"
777425,"4,13"
7774273,"4,10"
7774274,"4,10"
7774275,"4,10"
7774272,"4,10"
77736,"4,00"
7774261,"4,10"
777423,"4,20"
777424,"4,10"
777422,"4,11"
777645,"4,70"
7776461,"4,70"
77764721,"0,00"
7776462,"4,70"
7776471,"4,70"
7776473,"0,00"
7776522,"4,70"
7776465,"4,10"
7776463,"0,00"
7776743,"0,00"
7776481,"0,00"
7776482,"4,10"
7776491,"0,00"
77764722,"0,00"
7776442,"0,00"
7776464,"0,00"
77764723,"0,00"
7776494,"4,10"
7776499,"4,10"
7776468,"0,00"
7776467,"0,00"
7776469,"0,00"
7774993,"5,00"
7776466,"4,10"
7761611,"5,00"
776151,"5,00"
776153,"5,00"
7761711,"5,00"
7761521,"4,00"
77613991,"5,00"
77613981,"5,00"
77613974,"3,00"
7761411,"4,00"
7761412,"4,00"
7761522,"5,00"
7761712,"4,00"
7761523,"4,00"
7761732,"5,00"
7761716,"5,00"
77613992,"5,00"
7761731,"5,00"
77613993,"5,00"
77616121,"5,00"
77617211,"0,00"
7761717,"5,00"
7761613,"0,00"
7761713,"5,00"
7761714,"4,00"
7761735,"5,00"
7761737,"5,00"
7761733,"5,00"
7761734,"4,00"
7761739,"5,00"
77613982,"0,00"
77617481,"0,00"
776175291,"0,00"
776175292,"0,00"
77617524,"0,00"
7761746,"0,00"
77617495,"0,00"
7761454,"0,00"
77614625,"0,00"
77617491,"0,00"
77617494,"0,00"
77617482,"0,00"
77617492,"0,00"
77614622,"0,00"
77617493,"0,00"
7761617,"0,00"
77617475,"0,00"
77614371,"0,00"
7761439,"0,00"
7761441,"0,00"
7761438,"0,00"
77617472,"0,00"
7761452,"0,00"
7761453,"0,00"
77614373,"0,00"
7761455,"0,00"
